,ADF_statistic_in,ADF_statistic_out,ASR_in,ASR_out,PS_in,PS_out,date_in,date_out,hedge_ratio_in,hedge_ratio_out,intercept_in,intercept_out,reason,sigma_in,sigma_out,spread_in,spread_out,stock_1_in,stock_1_log_in,stock_1_log_out,stock_1_out,stock_2_in,stock_2_log_in,stock_2_log_out,stock_2_out
"(2809, 2812)",-2.709090169542618,-2.0565342800542736,3.336841337691199,4.090071612942731,2.3501311496605855,1.0828885624918432,2000-11-13,2000-12-04,1.157086420611999,0.9965238513510546,-0.24474744170437218,0.03255675235380632,stop_loss,0.05767923178958571,0.057867609919746446,0.1924664449617619,0.23668266864159815,3.15,1.1474024528375417,1.0508216248317612,2.86,3.58,1.275362800412609,1.3164082336557241,3.73
"(2816, 2845)",-2.9521427918873275,-2.615544012529303,2.810982229015222,4.078890980660133,2.675327812766807,2.3758309340884343,2000-12-01,2000-12-04,0.7939057777000826,0.7881189683832802,-2.365680503031791,-2.3447419670212186,stop_loss,0.06673502748325244,0.06382189411736208,-0.18759097630826504,-0.2603225482839542,67.69,4.214938458520516,4.311604170377335,74.56,2.21,0.7929925155296614,0.7929925155296614,2.21
"(2809, 2816)",-2.4380562780806714,,4.666542011837365,,1.9636204149046077,,2000-12-01,2000-12-04,1.259167798345585,,2.523056934637737,,cointegration_invalid,0.0780718925624009,,0.36432576658609683,,2.87,1.0543120297715298,,2.86,67.69,4.214938458520516,,74.56
"(2816, 2820)",-2.8298609273525863,,2.7897462796516166,,2.3429161229922078,,2000-12-01,2000-12-11,0.587134405612813,,-1.7453401598741973,,cointegration_invalid,0.06291257191292404,,-0.17551011343739464,,67.69,4.214938458520516,,78.27,1.74,0.5538851132264376,,1.79
"(2812, 2845)",-2.8630753724922107,-3.2025546454510447,2.6233749861659574,0.04498394071103062,2.298836439575935,0.024000928170110153,2000-12-04,2000-12-11,0.9888912064295394,1.0070959087846623,-0.37190706623915887,-0.4049549654979657,reversion,0.052178947076423884,0.054400716675936614,-0.13688494456476774,0.0024471586135879075,3.73,1.3164082336557241,1.2267122912954254,3.41,2.21,0.7929925155296614,0.8329091229351039,2.3
"(2812, 2823)",-2.1322705148335417,-3.0312685993106707,2.7897329036542473,0.4911132494486187,1.1453409742757852,0.4803140975182692,2000-12-04,2000-12-11,1.2192404163945227,1.257562157444209,-0.48507836399400767,-0.5535065857897736,take_profit,0.10445012173234966,0.10805452857212672,-0.2913879413874274,-0.05306701064469577,3.73,1.3164082336557241,1.2267122912954254,3.41,2.29,0.8285518175661483,0.9360933591703348,2.55
"(2801, 2816)",-3.008864584266292,,2.8846156194968846,,2.9118328362546406,,2000-12-04,2000-12-18,1.632824133939384,,1.0956533610446815,,cointegration_invalid,0.12670816773609883,,0.3655043597693819,,5.73,1.7457155307266483,,5.67,74.56,4.311604170377335,,98.89
"(2812, 2816)",-4.0667606956340645,,4.096068868149716,,18.43387182581701,,2000-12-11,2000-12-18,1.2361384477749273,,2.541314513744737,,cointegration_invalid,0.0738424221320009,,0.30246364644365853,,3.41,1.2267122912954254,,3.39,78.27,4.360164387816747,,98.89
"(2809, 2834)",-3.424662772516803,-3.3417948388640544,2.6592489914306636,0.2865333729469964,4.028453353014656,0.18691342744274064,2000-11-27,2000-12-26,0.531984499916817,0.46261889213028357,1.602422727817159,1.7279811495917372,reversion,0.04682878837320821,0.05182315302807627,0.12452940825137393,-0.014849062833883042,2.89,1.0612565021243408,0.9631743177730056,2.62,9.89,2.2915241456346207,2.1587147225743437,8.66
"(2816, 2834)",-3.012278006197176,-2.0528546192945205,3.7255014244219673,4.09824521036093,3.786149368835981,1.0774041173725686,2000-12-18,2000-12-26,0.4151995245619276,0.41602473658299244,0.5665794276321795,0.5571557756933132,stop_loss,0.05446649092366599,0.06099202370872687,-0.2029149895193838,-0.24996026903451019,98.89,4.5940081212819,4.4505027059759525,85.67,9.69,2.2710944259026746,2.1587147225743437,8.66
"(2823, 2845)",-2.012869945330024,,2.7072489204745844,,1.0129001003246099,,2000-12-18,2000-12-26,0.7869463969292263,,0.06278692071684225,,cointegration_invalid,0.06691416783159014,,0.18115330862652756,,2.47,0.9042181506398859,,2.22,2.6,0.9555114450274363,,2.68
"(2845, 2849)",-2.102060601115044,,2.908061623773127,,1.1151047419236264,,2000-12-26,2001-01-02,0.6058071505427398,,1.6153770590808763,,cointegration_invalid,0.06117004984875237,,-0.17788627448944594,,2.68,0.9858167945227654,,2.68,7.65,2.0347056478384444,,8.08
"(2823, 2836)",-2.5721621121405294,,4.528658747320634,,2.3731268311368727,,2001-01-02,2001-01-08,0.7123225635200504,,0.528746382871299,,cointegration_invalid,0.05591514432642958,,0.25322060746158104,,2.41,0.8796267475025636,,2.55,4.09,1.4085449700547104,,4.49
"(2820, 2834)",-4.400714304346821,-3.203096387255062,4.360141670537753,4.882985268504233,34.2971663337373,6.738371232781905,2001-01-08,2001-01-15,0.6587510436623857,0.6654833898464355,1.8538438702749964,1.8433122087838127,stop_loss,0.041974880183190455,0.04953279668393125,-0.18301642420255804,-0.2418679165154516,2.28,0.8241754429663494,0.9669838461896731,2.63,9.15,2.21375387928743,2.244955980157409,9.44
"(2801, 2845)",-2.9040963614872863,,2.5385920518865515,,2.3216191810578155,,2001-01-08,2001-01-15,1.208827463276546,,-1.2940902848787246,,cointegration_invalid,0.10855720370136791,,0.2755824544913219,,6.11,1.809926773183504,,6.63,3.22,1.169381359556317,,3.53
"(2820, 2823)",-2.280817925698239,-1.9876359793148268,3.879765901282904,4.8426530028971495,1.4633464059795203,0.9806851866255808,2001-01-08,2001-01-15,1.7242339572067145,1.7752147826724334,-0.09313528374281073,-0.1499178835537025,stop_loss,0.1009964653835818,0.12383755108185594,-0.39184264254531986,-0.5997022886179788,2.28,0.8241754429663494,0.9669838461896731,2.63,2.55,0.9360933591703348,0.9669838461896731,2.63
"(2809, 2820)",-2.2685607560806016,,4.025838903700307,,1.4535858613461021,,2001-01-08,2001-01-15,0.6972861006385259,,-0.18398963470059734,,cointegration_invalid,0.06541662175341502,,0.26335678080354596,,2.91,1.0681530811834012,,3.12,2.28,0.8241754429663494,,2.63
"(2812, 2845)",-2.1165677762606774,,3.6652292833811773,,1.1634722151579744,,2000-12-26,2001-01-29,0.9899858390398313,,-0.37008044280253793,,cointegration_invalid,0.05916334462085358,,0.2168472232071248,,3.16,1.1505720275988207,,4.42,2.68,0.9858167945227654,,3.81
